vin,make,model,year,millege,city_mpg,hwy_mpg,price
JM1NDAM76J0200079,mazda,mx-5-miata-rf,2018,16147,26,33,29988
JM1NDAM76K0301057,mazda,mx-5-miata-rf,2019,22198,26,35,32995
JM1NDAM77K0301438,mazda,mx-5-miata-rf,2019,26513,26,34,30914
JM1NDAL7XJ0200510,mazda,mx-5-miata-rf,2018,21963,26,33,30998
JM1NDAM76K0308719,mazda,mx-5-miata-rf,2019,49288,26,34,29700
JM1NDAL70M0457759,mazda,mx-5-miata-rf,2021,12960,26,34,47500
JM1NDAL73H0106088,mazda,mx-5-miata-rf,2017,18390,26,33,27995
JM1NDAM71K0309289,mazda,mx-5-miata-rf,2019,21015,26,35,30900
